team,rank,total,ANAT,BIOLAB,BRIDG,CAPOW,CODE,CRAVE,CRIME,DD,DP,EXPD,FACTS,FLITE,FOREST,GREEN,MET,ROAD,ROCK,ROLL,SOLAR,SOM,STORM,WHEEL,WIDI
B001Abington Heights Middle School,110,2534,120,49,165,164,136,55,89,74,69,52,112,165,113,71,57,62,104,165,125,93,165,165,164
B002Abington Heights Middle School,139,3179,131,165,165,165,107,165,102,165,165,98,106,165,99,105,80,113,119,165,139,165,165,165,165
B003Ames Middle School,79,2105,64,63,165,54,116,43,120,53,29,90,94,50,88,119,165,25,89,80,79,25,165,165,164
B004Ames Middle School,142,3254,165,165,165,165,165,165,139,128,165,165,82,26,165,101,165,101,76,165,126,165,165,165,165
B005Archimedean Middle Conservatory,89,2210,65,59,165,90,89,94,104,99,123,36,27,165,100,67,63,57,42,165,120,84,165,165,66
B006Archimedean Middle Conservatory,117,2660,109,107,165,103,104,97,165,117,110,165,100,165,124,49,76,71,110,165,72,100,165,165,56
B007Archimedean Middle Conservatory,137,3102,139,127,165,164,165,118,117,108,116,165,165,165,78,137,122,115,27,165,143,106,165,165,165
B008BASIS Independent Austin,38,1241,37,66,17,25,23,80,49,97,51,76,28,21,19,35,58,65,51,18,70,82,165,16,92
B009BASIS Independent Austin,71,1943,107,60,36,95,83,71,78,83,88,95,132,30,86,90,129,93,86,24,138,85,46,43,165
B010BASIS Independent Silicon Valley,35,1170,79,15,64,42,55,2,40,58,47,42,50,47,35,22,68,166,29,164,17,58,24,12,34
B054Bay Academy,29,1046,33,32,165,34,36,11,37,48,18,8,36,36,43,46,15,18,21,165,37,63,30,29,85
B055Bay Academy,54,1631,52,78,165,68,47,41,64,42,57,28,21,41,41,86,33,42,28,165,59,69,165,165,74
B011Beckendorff Junior High School,39,1290,3,1,165,165,11,5,20,3,10,165,2,11,2,12,4,5,12,165,30,165,165,4,165
B012Beckendorff Junior High School,94,2282,132,87,165,165,39,37,21,14,35,165,48,165,83,62,56,23,79,165,81,165,165,165,165
B155Black Mountain Middle School,62,1865,128,79,20,38,114,102,87,92,77,86,133,63,77,94,120,114,60,45,33,166,39,67,31
B014Black Mountain Middle School,135,3047,165,165,88,43,99,165,58,165,165,165,165,44,165,122,165,165,165,75,118,165,165,165,90
B156Black Mountain Middle School,150,3452,113,165,165,165,50,165,98,165,165,94,165,165,165,165,165,165,165,165,127,165,165,165,165
B157Black Mountain Middle School,151,3455,165,165,70,165,165,165,134,165,165,165,165,165,165,165,165,165,165,17,98,166,165,165,165
B013Black Mountain Middle School,152,3467,165,165,165,26,165,165,77,165,165,165,165,165,165,165,165,165,165,165,64,165,165,165,165
B015Brea Junior High School,154,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B016Campbell MIddle School,123,2854,119,85,165,165,108,105,107,102,113,165,110,165,108,123,88,107,99,165,80,80,165,165,165
B017Carmel Valley Middle School,24,847,46,47,47,39,45,44,30,39,26,16,51,13,13,23,11,85,46,32,25,33,35,62,39
B018Carmel Valley Middle School,76,2046,44,165,164,84,62,165,48,50,94,84,24,165,29,92,21,165,72,63,85,21,165,165,19
B019Carmel Valley Middle School,127,2863,118,165,86,35,165,165,110,76,165,165,165,165,165,36,165,165,34,164,42,17,165,165,165
B020Carmel Valley Middle School,130,2939,165,165,165,165,56,165,100,54,165,165,70,8,165,165,165,73,165,164,54,165,165,50,165
B021Carmel Valley Middle School,155,3795,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
B022Chaboya Middle School,9,511,16,11,14,29,4,7,25,19,46,5,16,56,18,40,27,39,18,30,6,27,22,31,5
B023Chaboya Middle School,48,1494,140,65,63,19,34,57,29,49,118,54,105,45,116,63,107,82,39,51,11,22,23,164,38
B024Challenger School,92,2246,55,112,72,164,117,98,126,115,54,85,107,70,47,76,43,78,73,71,119,165,70,165,164
B025Chenery Middle School,72,1962,82,100,81,96,71,60,70,130,64,97,86,65,50,96,66,166,101,61,62,53,65,165,75
B026Community Middle School,43,1382,4,31,165,70,64,21,12,11,36,21,45,165,26,64,13,44,11,165,5,68,165,165,11
B028Cooper Middle School,14,630,56,6,58,16,6,6,18,18,4,26,52,165,6,4,22,1,35,15,15,3,69,25,4
B027Cooper Middle School,58,1682,21,82,69,18,92,89,124,24,50,56,72,165,70,20,78,84,62,68,21,45,43,165,164
B029Daniel Wright Junior High School,3,333,20,7,21,13,22,8,31,33,6,24,11,12,24,2,2,13,14,21,12,4,7,8,18
B030Daniel Wright Junior High School,17,707,19,22,10,69,35,42,56,29,21,25,57,20,51,7,30,16,41,27,28,23,13,6,60
B032Division Avenue High School,124,2855,141,84,40,116,129,61,121,111,84,115,122,165,106,83,108,165,165,165,114,165,165,165,165
B172Eleanor Murray Fallon Middle School,105,2404,110,86,165,165,100,103,122,118,102,108,40,165,79,109,132,79,66,66,74,95,165,64,91
