number,school,team,exhibition,city,state,track,rank,total,Air Trajectory,Anatomy and Physiology,Can't Judge a Powder,Codebusters,Crime Busters,Disease Detectives,Dynamic Planet,Ecology,Experimental Design,Fast Facts,Flight,Forestry,Fossils,Meteorology,Microbe Mission,Optics,Reach for the Stars,Road Scholar,Roller Coaster,Tower,Wheeled Vehicle,Wind Power,Write It Do It
21,Pacific Trails Middle School,Peppa-Pig,,San Diego,CA,,1,152,14,5,3,10,1,12,6,1,6,4,4,2,4,12,1,2,1,2,10,30,5,7,10
39,Oak Valley Middle School,Takis,,San Diego,CA,,2,153,12,3,28,1,8,15,1,2,1,12,1,1,9,1,4,19,6,7,7,1,4,2,8
35,Oak Valley Middle School,Doritos,,San Diego,CA,,3,206,1,1,17,4,7,5,2,4,2,6,3,3,5,6,9,28,4,8,9,7,29,33,13
47,Mesa Verde Middle School,Bald Eagles,,San Diego,CA,,4,306,27,4,25,6,23,1,7,6,4,1,16,13,7,17,8,24,29,5,51,4,15,1,12
7,Meadowbrook Middle School,Twix,,San Diego,CA,,5,322,9,6,21,2,12,23,32,20,29,27,21,20,3,18,2,6,2,12,3,39,1,3,11
34,Oak Valley Middle School,Cheetos,,San Diego,CA,,6,339,6,2,7,19,24,13,12,8,9,7,14,6,16,13,40,31,25,1,15,2,17,39,13
36,Oak Valley Middle School,Fritos,,San Diego,CA,,7,361,2,10,9,28,5,6,3,13,3,26,20,10,15,23,32,52,16,4,8,3,3,21,49
60,Black Mountain Middle School,Aquila,,San Diego,CA,,8,376,10,12,15,9,16,29,24,16,15,19,29,14,34,25,7,14,13,10,4,15,12,6,28
22,Pacific Trails Middle School,Mummy-Pig,,San Diego,CA,,9,394,18,9,1,39,15,3,18,15,19,16,39,20,12,5,12,3,26,3,55,20,6,8,32
56,Ocean Air School,Kyogre,,San Diego,CA,,10,435,4,32,6,18,17,2,34,11,24,23,10,7,14,33,6,23,17,22,40,22,13,9,48
37,Oak Valley Middle School,Funyuns,,San Diego,CA,,11,446,20,11,5,11,4,14,10,5,21,14,37,16,13,27,11,21,21,24,38,13,35,36,39
48,Mesa Verde Middle School,Bonelli's Eagles,,San Diego,CA,,12,453,34,29,31,21,49,9,14,41,7,29,41,15,21,14,5,5,18,14,17,6,14,4,15
77,Marshall Middle School,Sigma,,San Diego,CA,,13,460,26,25,17,24,20,29,17,3,5,13,50,19,24,3,19,46,15,16,13,29,27,11,9
38,Oak Valley Middle School,Lays,,San Diego,CA,,14,473,3,21,47,30,9,29,15,29,13,21,7,8,21,8,22,9,50,20,24,10,40,30,7
6,Meadowbrook Middle School,Snickers,,San Diego,CA,,15,474,15,24,2,13,20,25,22,44,30,22,15,22,27,9,36,43,14,17,1,21,33,14,5
49,Mesa Verde Middle School,Golden Eagles,,San Diego,CA,,16,489,29,19,17,12,10,11,8,18,14,36,12,30,25,29,16,33,34,37,16,14,20,12,37
31,Design39 Campus,Whitney,,San Diego,CA,,17,494,43,16,23,25,24,10,24,7,17,20,52,5,10,2,14,25,7,11,28,25,38,22,46
23,Pacific Trails Middle School,Daddy-Pig,,San Diego,CA,,18,561,33,20,23,8,13,42,13,80,10,80,5,4,80,4,22,26,23,6,36,12,2,16,3
24,Pacific Trails Middle School,George-Pig,,San Diego,CA,,19,571,7,28,8,3,14,17,4,25,23,3,6,80,80,10,15,1,12,80,53,18,34,32,18
5,Meadowbrook Middle School,Hershey's,,San Diego,CA,,20,587,13,63,35,32,3,21,21,28,36,10,18,42,23,7,49,10,8,31,2,33,26,26,50
29,Torrey Hills School,Gold Hawks,,San Diego,CA,,21,594,8,31,40,16,27,43,39,12,18,28,24,11,49,11,44,27,28,39,33,8,7,15,36
8,Carmel Valley Middle School,Synestia,,San Diego,CA,,22,597,28,79,42,5,11,7,9,19,12,5,79,79,2,16,3,32,3,13,25,79,16,17,16
25,Pacific Trails Middle School,Granny-Pig,,San Diego,CA,,23,637,11,17,4,23,6,33,38,23,25,43,32,18,8,40,25,17,54,28,42,9,80,29,32
66,Sycamore Ridge Elementary School Middle School,Stallion Brainiacs,,San Diego,CA,,24,647,42,8,36,42,52,33,11,13,28,18,11,27,40,21,16,11,38,31,41,34,32,37,25
13,Twin Peaks Middle School,1,,San Diego,CA,,25,675,44,7,31,28,34,37,35,25,26,8,23,23,16,26,46,12,43,20,64,37,28,42,20
78,Marshall Middle School,Theta,,San Diego,CA,,26,810,5,80,12,20,41,19,28,39,31,46,80,24,40,39,28,20,53,23,6,80,36,31,29
9,Carmel Valley Middle School,Quasar,,San Diego,CA,,27,818,24,79,33,15,27,50,16,38,8,40,79,79,6,28,48,29,19,9,26,79,80,5,1
50,Mesa Verde Middle School,Greater Spotted Eagles,,San Diego,CA,,28,853,80,40,25,26,55,48,36,45,20,37,9,16,29,36,45,56,80,80,22,5,8,24,31
51,Mesa Verde Middle School,Martial Eagles,,San Diego,CA,,29,860,31,34,53,43,2,8,80,49,11,48,19,80,16,32,24,13,20,80,23,80,21,13,80
